doc_id,stock_code,company_name,year_range,year_list,valid_year_count,rank,term,tfidf_weight
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,1,私行,0.061524383030963775
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,2,开放银行,0.061018735340364054
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,3,综合 金融,0.06092552999815709
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,4,支付结算,0.05995244289968521
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,5,避险,0.058640500529979385
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,6,对公业务,0.05821063719816415
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,7,股份制 商业银行,0.05405445743632783
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,8,交易 银行,0.053932745515594224
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,9,代发,0.053416786341022995
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,10,金融服务 实体,0.05331210446731266
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,11,客群,0.05208730875374083
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,12,机构 销售,0.05085734804851128
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,13,收单,0.05009002235725744
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,14,全行,0.049450984568248306
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,15,股份制,0.04933199147501589
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,16,供应链金融,0.04878605996748807
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,17,销售 交易,0.04837823599891001
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,18,财富管理,0.04805692559972142
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,19,综合化,0.047903698944870766
000001_5Y,000001,平安银行,2020-2024,"2020,2021,2022,2023,2024",5,20,供应链 场景,0.04788699593398784
000002_5Y,000002,万科A,2020-2024,"2020,2021,2022,2023,2024",5,1,房地产开发 经营,0.11248598607775581
