code,shortname,accper,typrep,总资产利润率ROA,权益资本利润率ROE,息税前利润EBIT,息税折旧摊销前收入EBITDA,投入资本利润率ROIC,营业利润率,销售利润率,EBITDA利润率,总资产盈利能力,应收账款周转率,应收账款周转天数,存货周转率,存货周转天数,应付账款周转率,营运资本周转率,固定资产周转率,总资产周转率,流动比率,速动比率,现金比率,营运资本,利息保障倍数,现金流利息保障倍数,资产负债率,长期负债权益比率,营运资本需求量比率,营运资本周转天数,销售创现率,利润创现率_净利润,利润创现率_息税前利润,总资产创现率,每股分红,总资产负债率,每股收益,每股净资产,市盈率,权益资产比,权益负债比,每股经营现金流,stock_code_norm,company_name,model_level1_code,model_level2_code,model_level3_code,industry_code
1,平安银行,2019,A,0.007158,0.090085,,,,0.286159,,,,,,,,,,11.432925,0.032194,,,,,,,0.920544,0,,,,-1.419578,,-0.010161028,0.218001,0.920544,1.452907,16.128156,11.322174,0.079456076,0.086314,-2.0625148,1,平安银行,L1_025,L1_025_S01,L1_025_S01_S01,L1_025_S01_S01
1,平安银行,2020,A,0.006474,0.079444,,,,0.257669,,,,,,,,,,13.149913,0.032056,,,,,,,0.918512,0,,,,-0.55866289,,-0.003616639,0.180001,0.918512,1.490679,18.763836,12.974006,0.08148817,0.088718,-0.83278704,1,平安银行,L1_025,L1_025_S01,L1_025_S01_S01,L1_025_S01_S01
1,平安银行,2021,A,0.007383,0.091886,,,,0.299571,,,,,,,,,,12.819693,0.031191,,,,,,,0.919647,0,,,,-5.3041887,,-0.03916239,0.228001,0.919647,1.872418,20.377615,8.801488,0.080353104,0.087374,-9.9316587,1,平安银行,L1_025,L1_025_S01,L1_025_S01_S01,L1_025_S01_S01
1,平安银行,2022,A,0.008553,0.104712,,,,0.358169,,,,,,,,,,14.478841,0.030155,,,,,,,0.918316,0,,,,2.9565866,,0.025288291,0.285,0.918316,2.34547,22.399258,5.610839,0.081683531,0.088949,6.9345856,1,平安银行,L1_025,L1_025_S01,L1_025_S01_S01,L1_025_S01_S01
1,平安银行,2023,A,0.008315,0.098353,,,,0.391514,,,,,,,,,,15.07632,0.026482,,,,,,,0.915461,0,,,,1.9903347,,0.016548967,0.719002,0.915461,2.393857,24.339277,3.922556,0.084538788,0.092346,4.7645769,1,平安银行,L1_025,L1_025_S01,L1_025_S01_S01,L1_025_S01_S01
1,平安银行,2024,A,0.007715,0.089944,,,,0.468161,,,,,,,,,,13.657748,0.02044,,,,,,,0.914228,0,,,,1.4230251,,0.010978165,0.608003,0.914228,2.293527,25.499433,5.101335,0.085772045,0.093819,3.2637463,1,平安银行,L1_025,L1_025_S01,L1_025_S01_S01,L1_025_S01_S01
2,万科A,2019,A,0.031869,0.203754,82275231229,86394746870,0.109815,0.208248,0.14985739,0.23483606,0.047559876,185.050233,1.972437,0.261478,1395.910937,0.877543,2.211179,29.669248,0.212664,1.130738,0.425873,0.12552,1.66E+11,14.343805,7.965006,0.84359,0.69015,0.096176796,165.07031,0.12418475,0.82868624,0.55529237,0.026409637,1.016615,0.84359,4.877979,23.940514,6.596995,0.15641056,0.185411,4.0423141,2,万科A,L1_011,L1_011_S01,L1_011_S01_S03,L1_011_S01_S03
2,万科A,2020,A,0.031724,0.169499,84820855660,89681621740,0.10103,0.190781,0.14148524,0.21398026,0.045378715,140.057617,2.61321,0.29593,1236.778968,1.002896,1.823062,33.322752,0.224223,1.174494,0.41391,0.140921,2.3E+11,16.485746,10.337602,0.812835,0.576942,0.12299229,200.21262,0.12690656,0.89695972,0.62706304,0.028455315,1.25,0.812835,5.104104,30.112974,5.622926,0.18716498,0.230262,4.578176,2,万科A,L1_011,L1_011_S01,L1_011_S01_S03,L1_011_S01_S03
2,万科A,2021,A,0.019637,0.096925,56606455057,62088459278,0.061557,0.116014,0.084076226,0.13712183,0.029199082,95.454519,3.823811,0.329092,1109.112345,1.071323,1.567741,35.31672,0.233565,1.220232,0.400055,0.107293,2.89E+11,12.912575,0.938259,0.797398,0.596831,0.14898182,232.81908,0.009083881,0.10804339,0.072662398,0.002121676,0.976126,0.797398,3.27469,33.785791,6.034159,0.20260222,0.25408,0.35380861,2,万科A,L1_011,L1_011_S01,L1_011_S01_S03,L1_011_S01_S03
2,万科A,2022,A,0.021371,0.09272,55001360208,61945765657,0.053741,0.103221,0.074529678,0.12294769,0.031301916,67.136447,5.436689,0.446851,816.827086,1.401439,1.492612,30.683936,0.28674,1.313188,0.471608,0.124721,3.38E+11,21.031619,1.051727,0.769515,0.677376,0.19210638,244.53777,0.005458992,0.073245883,0.050006937,0.001565313,0.680001,0.769515,3.2286,34.820877,5.637118,0.23048538,0.29952,0.23648165,2,万科A,L1_011,L1_011_S01,L1_011_S01_S03,L1_011_S01_S03
