source_stock_code,source_company,source_year_range,source_valid_year_count,rank,target_stock_code,target_company,target_year_range,target_valid_year_count,similarity
000001,平安银行,2020-2024,5,1,600016,民生银行,2020-2024,5,0.9704758306009167
000001,平安银行,2020-2024,5,2,600036,招商银行,2020-2024,5,0.9685158851892585
000001,平安银行,2020-2024,5,3,601169,北京银行,2020-2024,4,0.9630437082269635
000001,平安银行,2020-2024,5,4,600000,浦发银行,2020-2023,4,0.9615001995699454
000001,平安银行,2020-2024,5,5,601998,中信银行,2020-2024,5,0.9603485658820451
000001,平安银行,2020-2024,5,6,600015,华夏银行,2020-2024,5,0.9566901146434742
000001,平安银行,2020-2024,5,7,601009,南京银行,2020-2024,5,0.9541046625775076
000001,平安银行,2020-2024,5,8,601229,上海银行,2020-2024,5,0.9499243084272638
000001,平安银行,2020-2024,5,9,601818,光大银行,2020-2024,5,0.9495116494354452
000001,平安银行,2020-2024,5,10,601166,兴业银行,2020-2024,5,0.9481121799066371
000002,万科A,2020-2024,5,1,001979,招商蛇口,2020-2024,5,0.812347572430619
000002,万科A,2020-2024,5,2,600708,光明地产,2020-2024,5,0.7795047498011268
000002,万科A,2020-2024,5,3,600743,华远地产,2020-2024,5,0.7733225870642668
000002,万科A,2020-2024,5,4,000732,ST泰禾,2020-2022,3,0.7641151745693487
000002,万科A,2020-2024,5,5,000031,大悦城,2020-2024,5,0.7640018235052706
000002,万科A,2020-2024,5,6,000736,中交地产,2020-2024,5,0.7514424589607798
000002,万科A,2020-2024,5,7,600383,金地集团,2020-2024,5,0.7513801710185997
000002,万科A,2020-2024,5,8,002305,南国置业,2020-2024,5,0.7507640028315562
000002,万科A,2020-2024,5,9,002314,南山控股,2020-2024,5,0.746228746605222
000002,万科A,2020-2024,5,10,000011,深物业A,2020-2024,5,0.744234986665902
000004,国华网安,2020-2024,5,1,688023,安恒信息,2020-2024,5,0.90067668522134
000004,国华网安,2020-2024,5,2,300352,北信源,2020-2024,5,0.8972393774376244
000004,国华网安,2020-2024,5,3,002212,天融信,2020-2024,5,0.8938835036937129
000004,国华网安,2020-2024,5,4,002439,启明星辰,2020-2024,5,0.8916057332999333
000004,国华网安,2020-2024,5,5,300369,绿盟科技,2020-2024,5,0.8790075007740932
000004,国华网安,2020-2024,5,6,300659,中孚信息,2020-2024,5,0.877413004752766
000004,国华网安,2020-2024,5,7,300311,任子行,2020-2024,5,0.8758148429006927
000004,国华网安,2020-2024,5,8,300768,迪普科技,2020-2024,5,0.8744280549200113
000004,国华网安,2020-2024,5,9,003029,吉大正元,2020-2024,5,0.873460617998005
000004,国华网安,2020-2024,5,10,002268,电科网安,2020-2024,5,0.8722071873128805
000005,ST星源,2020-2022,3,1,000011,深物业A,2020-2024,5,0.5722891674636712
000005,ST星源,2020-2022,3,2,001914,招商积余,2020-2024,5,0.5357789252792802
000005,ST星源,2020-2022,3,3,000090,天健集团,2020-2024,5,0.5330367608366338
000005,ST星源,2020-2022,3,4,300917,特发服务,2020-2024,5,0.5267792879941305
000005,ST星源,2020-2022,3,5,000548,湖南投资,2020-2024,5,0.5261785608159645
000005,ST星源,2020-2022,3,6,600605,汇通能源,2020-2024,5,0.5242546121558592
000005,ST星源,2020-2022,3,7,002575,群兴玩具,2020-2024,5,0.5235827407552958
000005,ST星源,2020-2022,3,8,600239,云南城投,2020-2024,5,0.5221115667117582
000005,ST星源,2020-2022,3,9,000042,中洲控股,2020-2024,5,0.5163219855756542
000005,ST星源,2020-2022,3,10,600890,＊ST中房,2020-2021,2,0.5162976655678626
000006,深振业A,2020-2024,5,1,000736,中交地产,2020-2024,5,0.8396241340278301
000006,深振业A,2020-2024,5,2,000029,深深房A,2020-2024,5,0.8373385620731435
000006,深振业A,2020-2024,5,3,000011,深物业A,2020-2024,5,0.8332736389136092
000006,深振业A,2020-2024,5,4,000514,渝开发,2020-2024,5,0.8247647220642551
000006,深振业A,2020-2024,5,5,000732,ST泰禾,2020-2022,3,0.8073388727968498
000006,深振业A,2020-2024,5,6,000014,沙河股份,2020-2024,5,0.7970821223670721
000006,深振业A,2020-2024,5,7,000042,中洲控股,2020-2024,5,0.782817537965919
000006,深振业A,2020-2024,5,8,000548,湖南投资,2020-2024,5,0.7783546977858563
000006,深振业A,2020-2024,5,9,002305,南国置业,2020-2024,5,0.7755580358411197
000006,深振业A,2020-2024,5,10,600657,信达地产,2020-2024,5,0.7707080918580873
000007,全新好,2020-2024,5,1,000632,三木集团,2020-2024,5,0.6207703867049558
000007,全新好,2020-2024,5,2,600653,申华控股,2020-2024,5,0.6114401353031107
000007,全新好,2020-2024,5,3,000608,阳光股份,2020-2024,5,0.5971466391720257
000007,全新好,2020-2024,5,4,002575,群兴玩具,2020-2024,5,0.5966119722150833
000007,全新好,2020-2024,5,5,600386,北巴传媒,2020-2024,5,0.592935174175529
000007,全新好,2020-2024,5,6,000020,深华发A,2020-2024,5,0.5797746091306193
000007,全新好,2020-2024,5,7,600605,汇通能源,2020-2024,5,0.5742476901183026
000007,全新好,2020-2024,5,8,600689,上海三毛,2020-2024,5,0.5625090147769147
000007,全新好,2020-2024,5,9,000025,特力A,2020-2024,5,0.550435720372673
000007,全新好,2020-2024,5,10,000096,广聚能源,2020-2024,5,0.5422850396948166
000008,神州高铁,2020-2024,5,1,300440,运达科技,2020-2024,5,0.8447217580268873
000008,神州高铁,2020-2024,5,2,000976,华铁股份,2020-2022,3,0.7548045040727064
000008,神州高铁,2020-2024,5,3,300011,鼎汉技术,2020-2024,5,0.750248792563188
000008,神州高铁,2020-2024,5,4,300789,唐源电气,2020-2024,5,0.733305968046639
000008,神州高铁,2020-2024,5,5,688459,哈铁科技,2022-2024,3,0.7263568567298738
000008,神州高铁,2020-2024,5,6,002296,辉煌科技,2020-2024,5,0.7246356309989739
000008,神州高铁,2020-2024,5,7,603508,思维列控,2020-2024,5,0.7235345813009882
000008,神州高铁,2020-2024,5,8,300150,世纪瑞尔,2020-2024,5,0.718440687159403
000008,神州高铁,2020-2024,5,9,300407,凯发电气,2020-2024,5,0.7181303364260107
000008,神州高铁,2020-2024,5,10,300960,通业科技,2020-2024,5,0.715007848056434
000009,中国宝安,2020-2024,5,1,835185,贝特瑞,2021-2024,4,0.6305818284670811
000009,中国宝安,2020-2024,5,2,001301,尚太科技,2022-2024,3,0.592363759969003
000009,中国宝安,2020-2024,5,3,600884,杉杉股份,2020-2024,5,0.572296681165133
000009,中国宝安,2020-2024,5,4,300035,中科电气,2020-2024,5,0.5635970286390947
000009,中国宝安,2020-2024,5,5,000982,中银绒业,2020-2023,4,0.5552611290893777
