stock_code_norm,company_name,year,model_level3_code,incomplete_flag,盈利能力指标_score,盈利能力指标_used_inds,盈利能力指标_missing_inds,资产使用效率_score,资产使用效率_used_inds,资产使用效率_missing_inds,流动性指标_score,流动性指标_used_inds,流动性指标_missing_inds,现金创造能力指标_score,现金创造能力指标_used_inds,现金创造能力指标_missing_inds,偿债能力_score,偿债能力_used_inds,偿债能力_missing_inds,股东收益指标_score,股东收益指标_used_inds,股东收益指标_missing_inds,composite_score
1.0,平安银行,2020,L1_025_S01_S01,True,0.19351652298850575,"['营业利润率', '总资产利润率ROA', '权益资本利润率ROE']","['销售利润率', 'EBITDA利润率', '总资产盈利能力']",0.9371123235263876,"['固定资产周转率', '总资产周转率']","['应收账款周转率', '存货周转率']",,[],"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",0.14583333333333331,"['利润创现率_净利润', '总资产创现率']",['销售创现率'],0.5208333333333334,"['总资产负债率', '权益资产比', '权益负债比']",['利息保障倍数'],0.5839361114858718,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.47624632493348634
1.0,平安银行,2021,L1_025_S01_S01,True,0.34016393442622955,"['营业利润率', '总资产利润率ROA', '权益资本利润率ROE']","['销售利润率', 'EBITDA利润率', '总资产盈利能力']",0.9583333333333335,"['固定资产周转率', '总资产周转率']","['应收账款周转率', '存货周转率']",,[],"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",0.14583333333333331,"['利润创现率_净利润', '总资产创现率']",['销售创现率'],0.5208333333333333,"['总资产负债率', '权益资产比', '权益负债比']",['利息保障倍数'],0.5720115203599516,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.5074350909572363
1.0,平安银行,2022,L1_025_S01_S01,True,0.5566751221345358,"['营业利润率', '总资产利润率ROA', '权益资本利润率ROE']","['销售利润率', 'EBITDA利润率', '总资产盈利能力']",0.9806175641729449,"['固定资产周转率', '总资产周转率']","['应收账款周转率', '存货周转率']",,[],"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",0.3958333333333333,"['利润创现率_净利润', '总资产创现率']",['销售创现率'],0.5694444444444444,"['总资产负债率', '权益资产比', '权益负债比']",['利息保障倍数'],0.6885153497928249,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.6382171627756167
1.0,平安银行,2023,L1_025_S01_S01,True,0.5796894672294424,"['营业利润率', '总资产利润率ROA', '权益资本利润率ROE']","['销售利润率', 'EBITDA利润率', '总资产盈利能力']",0.9800634306023814,"['固定资产周转率', '总资产周转率']","['应收账款周转率', '存货周转率']",,[],"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",0.37500000000000006,"['利润创现率_净利润', '总资产创现率']",['销售创现率'],0.6978974142926442,"['总资产负债率', '权益资产比', '权益负债比']",['利息保障倍数'],0.594194795553251,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.6453690215355439
1.0,平安银行,2024,L1_025_S01_S01,True,0.5514516437768187,"['营业利润率', '总资产利润率ROA', '权益资本利润率ROE']","['销售利润率', 'EBITDA利润率', '总资产盈利能力']",0.9583333333333335,"['固定资产周转率', '总资产周转率']","['应收账款周转率', '存货周转率']",,[],"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",0.5208333333333333,"['利润创现率_净利润', '总资产创现率']",['销售创现率'],0.5208333333333334,"['总资产负债率', '权益资产比', '权益负债比']",['利息保障倍数'],0.6156758652041145,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.6334255017961867
2.0,万科A,2020,L1_011_S01_S03,False,0.7123494722235987,"['销售利润率', '营业利润率', '总资产利润率ROA', '权益资本利润率ROE', 'EBITDA利润率', '总资产盈利能力']",[],0.8836969830227177,"['应收账款周转率', '存货周转率', '固定资产周转率', '总资产周转率']",[],0.17274842140245925,"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",[],0.4484302102690296,"['销售创现率', '利润创现率_净利润', '总资产创现率']",[],0.6372549019607843,"['总资产负债率', '权益资产比', '权益负债比', '利息保障倍数']",[],0.8752243402809401,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.621617388193255
2.0,万科A,2021,L1_011_S01_S03,False,0.6988468666346351,"['销售利润率', '营业利润率', '总资产利润率ROA', '权益资本利润率ROE', 'EBITDA利润率', '总资产盈利能力']",[],0.7341582794263128,"['应收账款周转率', '存货周转率', '固定资产周转率', '总资产周转率']",[],0.2780458013272422,"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",[],0.2620224337329,"['销售创现率', '利润创现率_净利润', '总资产创现率']",[],0.6176470588235294,"['总资产负债率', '权益资产比', '权益负债比', '利息保障倍数']",[],0.6397554550001534,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.5384126491574621
2.0,万科A,2022,L1_011_S01_S03,False,0.7642237222757956,"['销售利润率', '营业利润率', '总资产利润率ROA', '权益资本利润率ROE', 'EBITDA利润率', '总资产盈利能力']",[],0.8305570319375913,"['应收账款周转率', '存货周转率', '固定资产周转率', '总资产周转率']",[],0.3846796191106499,"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",[],0.4646419886299147,"['销售创现率', '利润创现率_净利润', '总资产创现率']",[],0.7058823529411765,"['总资产负债率', '权益资产比', '权益负债比', '利息保障倍数']",[],0.7229857516676207,"['每股分红', '每股收益', '每股净资产', '市盈率', '每股经营现金流']",[],0.6454950777604581
2.0,万科A,2023,L1_011_S01_S03,False,0.7551742919389979,"['销售利润率', '营业利润率', '总资产利润率ROA', '权益资本利润率ROE', 'EBITDA利润率', '总资产盈利能力']",[],0.8376386768871205,"['应收账款周转率', '存货周转率', '固定资产周转率', '总资产周转率']",[],0.4278802363202011,"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",[],0.5541527668338143,"['销售创现率', '利润创现率_净利润', '总资产创现率']",[],0.7352941176470588,"['总资产负债率', '权益资产比', '权益负债比', '利息保障倍数']",[],0.55691238470519,"['每股收益', '每股净资产', '市盈率', '每股经营现金流']",['每股分红'],0.6445087457220638
2.0,万科A,2024,L1_011_S01_S03,False,0.4802659252963699,"['销售利润率', '营业利润率', '总资产利润率ROA', '权益资本利润率ROE', 'EBITDA利润率', '总资产盈利能力']",[],0.8703323533998384,"['应收账款周转率', '存货周转率', '固定资产周转率', '总资产周转率']",[],0.34919161122613435,"['流动比率', '速动比率', '现金比率', '营运资本需求量比率', '营运资本周转天数']",[],0.4688352162056876,"['销售创现率', '利润创现率_净利润', '总资产创现率']",[],0.38228982579563364,"['总资产负债率', '权益资产比', '权益负债比', '利息保障倍数']",[],0.7147900895538328,"['每股收益', '每股净资产', '每股经营现金流']","['每股分红', '市盈率']",0.5442841702462494
